game_date,home_team,away_team,actual_margin,home_weighted_margin,away_weighted_margin,home_weighted_win_pct,away_weighted_win_pct,home_recent_10_win_pct,away_recent_10_win_pct,home_weighted_points_for,away_weighted_points_for,home_weighted_points_against,away_weighted_points_against,home_weighted_point_diff,away_weighted_point_diff,home_recent_margin_3,home_recent_margin_5,home_recent_margin_10,away_recent_margin_3,away_recent_margin_5,away_recent_margin_10,home_recent_win_pct_3,home_recent_win_pct_5,away_recent_win_pct_3,away_recent_win_pct_5,home_recent_points_for_5,home_recent_points_against_5,away_recent_points_for_5,away_recent_points_against_5,rest_diff,home_b2b,away_b2b,home_games_played,away_games_played,market_spread
2025-10-28,Golden State Warriors,Memphis Grizzlies,13,6.0,0.13063553963553362,0.48267825516781476,0.6671998628582312,0.5,0.6666666666666666,127.68820859302066,123.34079808001525,135.13857395865747,123.2101625403797,-7.450365365636813,0.13063553963554853,-7.0,-7.0,-7.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.5,0.5,0.6666666666666666,0.6666666666666666,128.0,135.0,123.33333333333333,123.66666666666667,1,0.0,0.0,2.0,3.0,0.0
2025-10-29,Golden State Warriors,LA Clippers,19,9.621252213825297,-21.0,0.6671998628582312,0.6894864924587557,0.6666666666666666,0.6666666666666666,128.86947939954626,117.12892101187909,129.02547847801333,112.16729648019854,-0.15599907846706174,4.961624531680542,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,4.333333333333333,4.333333333333333,4.333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,129.0,129.33333333333334,117.0,112.66666666666667,-1,0.0,0.0,3.0,3.0,0.0
2025-10-28,Washington Wizards,Philadelphia 76ers,-5,-26.0,1.0,0.33280013714176887,1.0,0.3333333333333333,1.0,116.5047951013558,126.43944184815692,126.48731456621594,120.51749152824475,-9.982519464860147,5.92195031991217,-9.666666666666666,-9.666666666666666,-9.666666666666666,5.666666666666667,5.666666666666667,5.666666666666667,0.3333333333333333,0.3333333333333333,1.0,1.0,116.66666666666667,126.33333333333333,126.0,120.33333333333333,1,0.0,0.0,3.0,3.0,0.0
2025-10-29,Oklahoma City Thunder,Sacramento Kings,6,10.017487863876445,-4.0,1.0,0.33280013714176887,1.0,0.3333333333333333,118.74534249591808,113.7659439127085,108.72785463204166,117.17200229295061,10.017487863876426,-3.406058380242115,10.0,10.0,10.0,-3.3333333333333335,-3.3333333333333335,-3.3333333333333335,1.0,1.0,0.3333333333333333,0.3333333333333333,119.66666666666667,109.66666666666667,113.66666666666667,117.0,-1,0.0,0.0,3.0,3.0,0.0
2025-10-29,Milwaukee Bucks,New York Knicks,10,13.0,-8.0,0.6433136446830132,0.6433136446830132,0.6666666666666666,0.6666666666666666,122.20547138510081,110.0605618162114,117.95542674079897,107.10194322699965,4.250044644301838,2.9586185892117527,4.666666666666667,4.666666666666667,4.666666666666667,3.3333333333333335,3.3333333333333335,3.3333333333333335,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,122.66666666666667,118.0,110.33333333333333,107.0,0,0.0,0.0,3.0,3.0,0.0
2025-10-28,Miami Heat,Charlotte Hornets,27,8.0,11.519652344965557,0.6894864924587557,0.6671998628582312,0.6666666666666666,0.6666666666666666,127.17988529664231,132.07805700882443,114.91884409573478,118.23565567586621,12.261041200907528,13.842401332958218,12.0,12.0,12.0,13.666666666666666,13.666666666666666,13.666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,127.33333333333333,115.33333333333333,132.0,118.33333333333333,0,0.0,0.0,3.0,3.0,0.0
2025-10-29,Toronto Raptors,Houston Rockets,-18,-6.0,12.55429583462993,0.22463751323925635,0.5173217448321853,0.25,0.5,120.70125908345624,124.45036536563681,125.21158134037627,111.89606953100689,-4.510322256920034,12.554295834629926,-11.333333333333334,-3.5,-3.5,12.0,12.0,12.0,0.0,0.25,0.5,0.5,121.5,125.0,124.0,112.0,0,0.0,0.0,4.0,2.0,0.0
2025-10-30,Phoenix Suns,Memphis Grizzlies,-1,4.0,-13.0,0.22463751323925635,0.48267825516781476,0.25,0.5,117.2158009381342,121.86374045015822,129.60092627067374,125.36452948754676,-12.385125332539545,-3.500789037388543,-17.666666666666668,-12.25,-12.25,-6.666666666666667,-3.5,-3.5,0.0,0.25,0.3333333333333333,0.5,116.75,129.0,122.0,125.5,0,0.0,0.0,4.0,4.0,0.0
2025-10-30,Dallas Mavericks,Indiana Pacers,2,-9.176164307575112,-14.13624335852411,0.2580407419285584,0.0,0.25,0.0,108.29244519024637,115.43323672853873,117.46860949782146,127.04306662359838,-9.176164307575092,-11.609829895059647,-2.3333333333333335,-10.0,-10.0,-11.666666666666666,-11.666666666666666,-11.666666666666666,0.3333333333333333,0.25,0.0,0.0,108.0,118.0,116.0,127.66666666666667,-2,0.0,0.0,4.0,3.0,0.0
2025-10-29,Brooklyn Nets,Atlanta Hawks,-5,-7.0,-0.6558957034896673,0.0,0.24076052537998013,0.0,0.25,113.89242650275663,113.05274906488712,130.42802523783826,122.35195593819884,-16.53559873508162,-9.299206873311718,-15.333333333333334,-16.25,-16.25,-6.0,-9.5,-9.5,0.0,0.0,0.3333333333333333,0.25,114.25,130.5,113.0,122.5,0,0.0,0.0,4.0,4.0,0.0
2025-10-30,Utah Jazz,Portland Trail Blazers,-2,12.205530337852851,3.86375664147589,0.6671998628582312,0.5173217448321853,0.6666666666666666,0.5,123.89017376930866,120.42521769661724,116.27544482681635,114.44298536314369,7.614728942492306,5.982232333473547,8.0,8.0,8.0,9.0,5.75,5.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,123.66666666666667,115.66666666666667,120.5,114.75,0,0.0,0.0,3.0,4.0,0.0
2025-10-30,Denver Nuggets,New Orleans Pelicans,34,22.0,-6.0,0.6894864924587557,0.0,0.6666666666666666,0.0,130.2388548530156,108.5892358070058,120.14341026202334,123.19748077096394,10.095444590992258,-14.608244963958128,9.666666666666666,9.666666666666666,9.666666666666666,-14.0,-14.0,-14.0,0.6666666666666666,0.6666666666666666,0.0,0.0,130.33333333333334,120.66666666666667,109.33333333333333,123.33333333333333,0,0.0,0.0,3.0,3.0,0.0
2025-10-30,Minnesota Timberwolves,Los Angeles Lakers,-1,-4.79446966214715,7.0,0.48267825516781476,0.6433136446830132,0.5,0.6666666666666666,113.9355079514371,120.5334727565185,119.93378024048415,117.60823763522154,-5.998272289047051,2.9252351212969643,-9.0,-5.75,-5.75,3.6666666666666665,3.6666666666666665,3.6666666666666665,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,114.0,119.75,121.0,117.33333333333333,0,0.0,0.0,4.0,3.0,0.0
2025-10-30,Chicago Bulls,Sacramento Kings,13,4.517321744832185,-5.03464348966437,1.0,0.24076052537998013,1.0,0.25,117.972921933412,110.23537889675137,110.95383448096086,114.35882093454155,7.0190874524511315,-4.123442037790184,7.0,7.0,7.0,-4.0,-4.0,-4.0,1.0,1.0,0.3333333333333333,0.25,117.66666666666667,110.66666666666667,110.5,114.5,1,0.0,0.0,3.0,4.0,0.0
2025-10-29,Boston Celtics,Cleveland Cavaliers,20,-1.0,7.335906361319151,0.2765612194522051,0.7753624867607436,0.25,0.75,111.82927405794797,119.00430179836054,107.15980225408782,112.01808890847562,4.669471803860148,6.986212889884925,5.333333333333333,3.75,3.75,11.0,6.25,6.25,0.3333333333333333,0.25,1.0,0.75,111.5,107.75,119.0,112.75,-1,0.0,0.0,4.0,4.0,0.0
2025-10-29,Detroit Pistons,Orlando Magic,19,-7.967687110469002,-12.0,0.4988012673085386,0.22463751323925635,0.5,0.25,109.60238852571312,113.42264929163709,113.79743763407517,119.90236487676914,-4.195049108362042,-6.479715585132055,-3.6666666666666665,-3.75,-3.75,-9.333333333333334,-6.0,-6.0,0.6666666666666666,0.5,0.0,0.25,110.0,113.75,113.5,119.5,0,0.0,0.0,4.0,4.0,0.0
2025-10-31,San Antonio Spurs,Miami Heat,6,14.621252213825297,14.62358281395867,1.0,0.7753624867607436,1.0,0.75,120.88366730179136,131.83167673032887,104.69103715202216,115.49441111048853,16.1926301497692,16.337265619840338,11.0,16.5,16.5,22.333333333333332,15.75,15.75,1.0,1.0,1.0,0.75,121.0,104.5,131.5,115.75,0,0.0,0.0,4.0,4.0,0.0
2025-10-31,Milwaukee Bucks,Golden State Warriors,10,11.448034765503445,-20.0,0.7419592580714417,0.7592394746200198,0.75,0.75,121.87208474882259,120.33217853295301,116.03182543955312,115.19037114645393,5.84025930926947,5.141807386499082,3.6666666666666665,6.0,6.0,4.0,4.5,4.5,0.6666666666666666,0.75,0.6666666666666666,0.75,122.25,116.25,121.25,116.75,0,0.0,0.0,4.0,4.0,0.0
2025-10-30,Charlotte Hornets,Orlando Magic,-16,19.0,-15.621252213825297,0.48267825516781476,0.1732764666735962,0.5,0.2,127.90805117549408,114.01193390327394,125.36107416053515,123.35428316688,2.5469770149589266,-9.342349263606053,-1.6666666666666667,3.5,3.5,-14.333333333333334,-8.6,-8.6,0.3333333333333333,0.5,0.0,0.2,128.25,124.75,114.0,122.6,1,0.0,0.0,4.0,5.0,0.0
2025-10-31,Oklahoma City Thunder,Washington Wizards,19,6.0,-1.1015998688597395,1.0,0.24076052537998013,1.0,0.25,115.49703625236316,121.34329030269103,106.59062973125482,129.9478381084051,8.906406521108337,-8.604547805714077,10.0,9.0,9.0,-7.0,-8.5,-8.5,1.0,1.0,0.3333333333333333,0.25,116.5,107.5,121.0,129.5,-1,0.0,0.0,4.0,4.0,0.0
2025-10-31,Indiana Pacers,Atlanta Hawks,-20,-6.0,1.3614851210410674,0.0,0.41435278718940083,0.0,0.4,112.54780805606053,113.9552472102826,121.49993167661421,119.98508816388724,-8.952123620553678,-6.029840953604648,-10.333333333333334,-9.25,-9.25,-5.666666666666667,-6.6,-6.6,0.0,0.0,0.3333333333333333,0.4,113.25,122.5,113.8,120.4,-1,0.0,0.0,4.0,5.0,0.0
2025-10-31,Cleveland Cavaliers,Toronto Raptors,-11,5.0,-3.5380856162985643,0.5980838647998179,0.1732764666735962,0.6,0.2,115.80236287723713,120.76956310759014,114.98626875728338,128.36416081221842,0.8160941199537461,-7.594597704628271,2.0,1.0,1.0,-15.333333333333334,-6.4,-6.4,0.6666666666666666,0.6,0.0,0.2,116.2,115.2,121.4,127.8,0,0.0,0.0,5.0,5.0,0.0
2025-11-01,Portland Trail Blazers,Denver Nuggets,2,8.415721875972446,3.82911315181152,0.6276811410987454,0.7753624867607436,0.6,0.75,123.98623075983643,127.96030710797588,118.91449470708412,111.25378952260563,5.071736052752314,16.70651758537025,3.0,5.0,5.0,23.0,15.75,15.75,0.6666666666666666,0.6,1.0,0.75,123.6,118.6,128.25,112.5,0,0.0,0.0,5.0,4.0,0.0
2025-11-01,LA Clippers,New Orleans Pelicans,2,16.653565103356296,-20.48500885530119,0.4988012673085386,0.0,0.5,0.0,106.58394012043698,102.89505164463128,108.2491716892939,122.86630402867557,-1.6652315688569246,-19.97125238404429,5.0,-1.5,-1.5,-23.333333333333332,-19.0,-19.0,0.6666666666666666,0.5,0.0,0.0,107.5,109.0,104.0,123.0,1,0.0,0.0,4.0,4.0,0.0
2025-11-01,Chicago Bulls,New York Knicks,10,7.542977334994651,-9.03464348966437,1.0,0.4653980386192365,1.0,0.5,120.19290043214562,110.32037398591993,111.51972451210737,110.94560675615661,8.673175920038247,-0.6252327702366784,10.0,8.5,8.5,-2.6666666666666665,0.0,0.0,1.0,1.0,0.3333333333333333,0.5,119.75,111.25,110.5,110.5,-1,0.0,0.0,4.0,4.0,0.0
2025-11-01,Phoenix Suns,Utah Jazz,22,1.4133912758390736,-1.0,0.1732764666735962,0.48267825516781476,0.2,0.5,116.25190160906516,126.68615964011856,126.0339356594392,121.73049185866432,-9.782034050374037,4.955667781454238,-9.0,-10.0,-10.0,0.3333333333333333,5.5,5.5,0.0,0.2,0.3333333333333333,0.5,116.0,126.0,126.25,120.75,0,0.0,0.0,5.0,4.0,0.0
2025-10-31,Philadelphia 76ers,Boston Celtics,-1,8.138573958657481,6.312027471880521,1.0,0.44196802243593053,1.0,0.4,129.91320512763096,114.84062447159326,124.24623051246805,106.66598578263022,5.666974615162914,8.174638688963043,7.0,5.5,5.5,15.333333333333334,7.0,7.0,1.0,1.0,0.6666666666666666,0.4,129.25,123.75,114.2,107.2,1,0.0,0.0,4.0,5.0,0.0
2025-11-01,Memphis Grizzlies,Los Angeles Lakers,-5,0.13063553963553362,3.8960695310068885,0.6009585274278407,0.7419592580714417,0.6,0.75,120.06577744025495,119.27969000262239,122.53750756402688,116.88690025420352,-2.471730123771934,2.3927897484188634,4.333333333333333,-2.6,-2.6,-2.0,3.0,3.0,0.6666666666666666,0.6,0.6666666666666666,0.75,120.4,123.0,119.75,116.75,0,0.0,0.0,5.0,4.0,0.0
